"word","n","rate_ADMIN","rate_HOCs","rate_total_EB","rate_ratio","rate_ratio_EB","group_HOCs_admin","id","color_range","color_range_scale"
"fall",79,48.5299470214745,49.4165657080916,50.2115938083948,0.982058269855206,0.988537533413215,"HOCs",31,-0.0181046344500054,-0.00594454951863585
"semester",98,59.6513932138957,62.1692278263087,61.966110017254,0.959500307460028,0.965084213618015,"HOCs",21,-0.041342643096677,-0.0135746120584838
"information",82,49.5409875844219,52.6047312376459,52.0675700518989,0.94175916155938,0.948716055481084,"HOCs",30,-0.0600057042286037,-0.0197025176715151
"families",12,7.0772839406317,7.97041382388574,8.7614577034703,0.887944352327415,0.935732649119032,"HOCs",459,-0.118846204251537,-0.0390224474416253
"quarantine",79,50.5520281473693,46.2284001785373,50.2115938083948,1.09352752749682,1.09773783620042,"Admin",28,0.0894087345689218,0.023397173484189
"responsibility",8,5.05520281473693,4.78224829433144,6.28682271213152,1.05707660991359,1.0977688134939,"Admin",709,0.0555071828932407,0.0145255516033574
"leadership",2,1.01104056294739,1.59408276477715,2.57487022512335,0.634245965948154,0.899395085558837,"HOCs",2196,-0.45531844087275,-0.14950111398219
"obstacles",2,1.01104056294739,1.59408276477715,2.57487022512335,0.634245965948154,0.899395085558837,"HOCs",2258,-0.45531844087275,-0.14950111398219
"distancing",55,32.3532980143163,36.6639035898744,35.3637838603622,0.882429170014823,0.894122721807798,"HOCs",53,-0.125076754002173,-0.0410682115592747
"mask",22,14.1545678812634,12.7526621182172,14.9480451818172,1.10993044040927,1.1229223410312,"Admin",179,0.104297347062673,0.0272933414719668
"activities",42,24.2649735107372,28.6934897659887,27.3212201385111,0.845661287930872,0.861894379335066,"HOCs",84,-0.167636368420969,-0.0550424089453206
"campus",324,213.329558781898,180.131352419818,201.782987027895,1.18429998951381,1.18482467591552,"Admin",5,0.169151873890976,0.0442649787818214
"community",174,115.258624176002,95.6449658866288,108.984174852691,1.20506733530149,1.20580332189077,"Admin",8,0.186535445299645,0.0488140470354368
"common",11,6.06624337768431,7.97041382388574,8.1427989556356,0.761095159137785,0.824874269498024,"HOCs",543,-0.272996884078795,-0.0896369103900471
"safe",39,26.287054636632,20.7230759421029,25.465243895007,1.26849193189631,1.26841515092438,"Admin",74,0.237828739687195,0.0622368755000985
"school",53,36.3974602661059,27.0994070012115,34.1264663646928,1.3431091043608,1.3400128483353,"Admin",42,0.294987153527144,0.0771945340682716
"limited",25,17.1876895701056,12.7526621182172,16.8040214253213,1.34777267763983,1.34109552648283,"Admin",142,0.29845336150363,0.0781015983472723
"2020",19,13.143527318316,9.56449658866288,13.0920689383132,1.37419959288767,1.36269979412235,"Admin",193,0.317871447360732,0.0831830741753331
"crisis",10,5.05520281473693,7.97041382388574,7.52414020780091,0.634245965948154,0.714015889877016,"HOCs",593,-0.45531844087275,-0.14950111398219
"students",209,146.600881627371,102.021296945737,130.637231026905,1.43696351660129,1.43506985964496,"Admin",7,0.362532218188152,0.0948702522572606
"athletics",7,5.05520281473693,3.18816552955429,5.66816396429683,1.58561491487038,1.50117829474304,"Admin",642,0.460972291001405,0.120630816619486
"strict",7,5.05520281473693,3.18816552955429,5.66816396429683,1.58561491487038,1.50117829474304,"Admin",719,0.460972291001405,0.120630816619486
"staff",96,68.7507582804222,44.6343174137601,60.7287925215846,1.54031163158837,1.53344920671104,"Admin",16,0.431984754128153,0.113045132375404
"academic",64,32.3532980143163,51.0106484728687,40.9317125908744,0.634245965948154,0.648193543441802,"HOCs",49,-0.45531844087275,-0.14950111398219
"move",21,10.1104056294739,17.5349104125486,14.3293864339825,0.576587241771049,0.619071435695129,"HOCs",259,-0.550628620677075,-0.180795647160501
"gatherings",36,26.287054636632,15.9408276477715,23.609267651503,1.6490395114652,1.62334144962559,"Admin",72,0.500193004154686,0.130894398072074
"public",77,56.6182715250536,33.4757380603201,48.9742763127254,1.69132257586174,1.6772344929181,"Admin",24,0.525510812138976,0.13751975910088
"time",59,28.3091357625268,49.4165657080916,37.8384188517009,0.572867324082204,0.588650124320911,"HOCs",55,-0.557101135182692,-0.182920858972702
"guidelines",68,50.5520281473693,28.6934897659887,43.4063475822132,1.76179434985598,1.74273381496565,"Admin",27,0.566332806659231,0.148202376323527
"society",3,1.01104056294739,3.18816552955429,3.19352897295805,0.317122982974077,0.568884234418387,"HOCs",1420,-1.1484656214327,-0.377091886384678
"questions",81,37.4085008290533,70.1396416501945,51.4489113040642,0.53334319863822,0.545175513970591,"HOCs",35,-0.628590162146787,-0.206393857668184
"participate",14,6.06624337768431,12.7526621182172,9.99877519913969,0.475684474461115,0.54112717982685,"HOCs",380,-0.743000513324531,-0.243959819019059
"mental",5,4.04416225178954,1.59408276477715,4.43084646862744,2.53698386379262,2.00484938375487,"Admin",856,0.930975920247141,0.243625024117009
