"word","n","rate_ADMIN","rate_HOCs","rate_total_EB","rate_ratio","rate_ratio_EB","group_HOCs_admin","id","color_range","color_range_scale"
"campus",194,288.263555250515,292.927141031104,294.594285116595,0.984079366069757,0.982340835249654,"HOCs",1,-0.0160487286074938,-0.00474257228661334
"leadership",2,3.43170899107756,2.66297400937367,6.70368354519209,1.28867536032944,1.02863368596287,"admin",1621,0.253614838341609,0.0793028675606302
"obstacles",2,3.43170899107756,2.66297400937367,6.70368354519209,1.28867536032944,1.02863368596287,"admin",1687,0.253614838341609,0.0793028675606302
"distancing",40,58.3390528483185,61.2484022155944,63.6820317728656,0.952499179373937,0.946500473360059,"HOCs",34,-0.0486660335313247,-0.0143813374610426
"virus",7,10.2951269732327,10.6518960374947,14.2008346277807,0.966506520247083,0.935938444878529,"HOCs",460,-0.0340672341101721,-0.0100672348772244
"guidelines",31,44.6122168840082,47.933532168726,50.1871598242061,0.930709982460154,0.924833973945215,"HOCs",51,-0.0718075620930191,-0.0212199085846963
"parties",5,6.86341798215511,7.98892202812101,11.2019741947453,0.859116906886296,0.857312419322648,"HOCs",586,-0.151850269766556,-0.0448733914519157
"message",10,17.1585449553878,13.3148700468683,18.6991252773339,1.28867536032944,1.188998279512,"admin",312,0.253614838341609,0.0793028675606302
"community",94,126.97323266987,151.789518534299,144.651263464823,0.836508567231393,0.836944678245028,"HOCs",8,-0.178518516848717,-0.0527541459115156
"common",8,10.2951269732327,13.3148700468683,15.7002648442984,0.773205216197666,0.791642930836841,"HOCs",285,-0.257210785424382,-0.0760085594694482
"semester",72,126.97323266987,93.2040903280784,111.663798701433,1.36231395234827,1.34159443237414,"admin",16,0.30918468949642,0.0966790139064448
"activities",25,30.885380919698,42.6075841499787,41.1905785250997,0.724879890185312,0.735826536102214,"HOCs",60,-0.321749306561953,-0.0950803881016013
"test",25,30.885380919698,42.6075841499787,41.1905785250997,0.724879890185312,0.735826536102214,"HOCs",63,-0.321749306561953,-0.0950803881016013
"holiday",3,3.43170899107756,5.32594801874734,8.20311376170981,0.644337680164722,0.733580182210696,"HOCs",854,-0.439532342218337,-0.129886544676293
"society",3,3.43170899107756,5.32594801874734,8.20311376170981,0.644337680164722,0.733580182210696,"HOCs",979,-0.439532342218337,-0.129886544676293
"students",128,236.787920384351,157.115466553046,195.631890826425,1.50709491292765,1.49103903221549,"admin",7,0.410183899033149,0.128260474163242
"limited",18,34.3170899107756,21.3037920749893,30.6945670094757,1.6108442004118,1.49221382414925,"admin",129,0.476758389655819,0.14907766312304
"2020",12,24.0219629375429,13.3148700468683,21.6979857103693,1.80414550446122,1.58635362818715,"admin",229,0.590087074962822,0.184514429285816
"crisis",10,20.5902539464653,10.6518960374947,18.6991252773339,1.93301304049417,1.64061248278737,"admin",268,0.659079946449773,0.206087822175342
"testing",51,99.5195607412491,58.5854282062207,80.1757641545605,1.69870842952518,1.64523257088285,"admin",24,0.529868214969767,0.165684583564214
"fall",67,130.404941660947,77.2262462718364,104.166647618844,1.68860909284548,1.64790427422193,"admin",15,0.523905168081521,0.163819997403844
"decompress",1,3.43170899107756,0,5.20425332867437,Inf,1.72072834754131,"admin",2136,3,0.938070517630509
"successful",4,3.43170899107756,7.98892202812101,9.70254397822753,0.429558453443148,0.570063148332759,"HOCs",613,-0.844997450326501,-0.249705854475361
"move",14,13.7268359643102,26.6297400937367,24.6968461434048,0.515470144131778,0.559231429346043,"HOCs",120,-0.662675893532546,-0.195827869268516
"strict",6,13.7268359643102,5.32594801874734,12.701404411263,2.57735072065889,1.84251191987312,"admin",490,0.946762018901554,0.296043179047962
"mask",11,10.2951269732327,21.3037920749893,20.1985554938516,0.483253260123541,0.541288375520112,"HOCs",177,-0.727214414670117,-0.214899697900669
"gatherings",21,44.6122168840082,21.3037920749893,35.1928576590288,2.09409746053535,1.89975330213317,"admin",82,0.73912265412331,0.231116390248629
"quarantine",37,34.3170899107756,71.900298253089,59.1837411233124,0.477287170492387,0.496924828191805,"HOCs",26,-0.739636934668675,-0.218570686457828
"staff",68,144.131777625257,69.2373242437154,105.666077835362,2.08170635130141,2.015302883335,"admin",10,0.733187918603495,0.229260656774939
"school",45,96.0878517501716,45.2705581593524,71.1791828554542,2.12252412289555,2.02051058339546,"admin",25,0.752606004460597,0.23533250139206
"academic",41,37.7487989018531,79.8892202812101,65.1814619893833,0.472514298787463,0.49050618354226,"HOCs",22,-0.749687270522176,-0.221540669031259
"senior",12,10.2951269732327,23.966766084363,21.6979857103693,0.429558453443148,0.489669562387576,"HOCs",145,-0.844997450326501,-0.249705854475361
"athletics",4,10.2951269732327,2.66297400937367,9.70254397822753,3.86602608098833,2.0652706875745,"admin",633,1.35222712700972,0.422828133662674
"public",57,123.541523678792,55.922454196847,89.1723454536669,2.20915776056476,2.11956486789209,"admin",17,0.792611339074296,0.247841776375078
"communities",7,17.1585449553878,5.32594801874734,14.2008346277807,3.22168840082361,2.21215583242726,"admin",346,1.16990557021576,0.365817974610372
"responsibility",7,17.1585449553878,5.32594801874734,14.2008346277807,3.22168840082361,2.21215583242726,"admin",362,1.16990557021576,0.365817974610372
"safe",17,13.7268359643102,34.6186621218577,29.1951367929579,0.396515495485983,0.443418644798648,"HOCs",81,-0.925040158000037,-0.27335933734258
"returning",13,30.885380919698,10.6518960374947,23.197415926887,2.89951956074125,2.34528652069621,"admin",158,1.06454505455794,0.332872776790054
"remote",10,6.86341798215511,21.3037920749893,18.6991252773339,0.322168840082361,0.405441882858806,"HOCs",181,-1.13267952277828,-0.334719007699737
