id,yesterday,today,change,absChange,name,codes
4535,145,154,9,9,Intermediate Machine Learning,S&DS 365 01
903,35,43,8,8,Automated Decision Systems,CPSC 458 01
4528,220,228,8,8,Theory of Statistics,S&DS 242 01 / MATH 242 01
4529,121,129,8,8,Applied Machine Learning and Causal Inference,S&DS 317 01
4532,128,136,8,8,Data Analysis,S&DS 361 01 / AMTH 361 01
4526,334,341,7,7,Data Exploration and Analysis,S&DS 230 01
4533,166,173,7,7,Multivariate Statistics for Social Sciences,S&DS 363 01
