id,date,count
113,01/16,14
113,01/17,14
113,01/18,14
114,01/11,21
114,01/12,21
114,01/13,21
114,01/14,21
114,01/15,20
114,01/16,20
114,01/17,20
114,01/18,20
115,01/11,7
115,01/12,7
115,01/13,7
115,01/14,7
115,01/15,7
115,01/16,7
115,01/17,7
115,01/18,7
118,01/11,0
118,01/12,0
118,01/13,0
118,01/14,0
118,01/15,0
118,01/16,0
118,01/17,0
118,01/18,0
120,01/11,6
120,01/12,6
120,01/13,6
120,01/14,6
120,01/15,6
120,01/16,6
120,01/17,6
120,01/18,6
122,01/11,0
122,01/12,0
122,01/13,0
122,01/14,0
122,01/15,0
122,01/16,0
122,01/17,0
122,01/18,0
126,01/11,0
126,01/12,0
126,01/13,0
126,01/14,1
126,01/15,1
126,01/16,1
126,01/17,1
126,01/18,1
127,01/11,0
127,01/12,0
127,01/13,0
127,01/14,0
127,01/15,0
127,01/16,0
127,01/17,0
127,01/18,0
128,01/11,11
128,01/12,11
128,01/13,11
128,01/14,11
128,01/15,11
128,01/16,11
128,01/17,11
128,01/18,11
129,01/11,2
129,01/12,3
129,01/13,2
129,01/14,3
129,01/15,4
129,01/16,4
129,01/17,4
129,01/18,3
131,01/11,0
131,01/12,0
131,01/13,0
131,01/14,0
131,01/15,0
131,01/16,0
131,01/17,0
131,01/18,0
132,01/11,6
132,01/12,7
132,01/13,8
132,01/14,8
132,01/15,8
132,01/16,9
132,01/17,9
132,01/18,9
133,01/11,13
133,01/12,22
133,01/13,25
133,01/14,26
133,01/15,25
133,01/16,25
133,01/17,25
133,01/18,28
140,01/11,16
140,01/12,18
140,01/13,21
140,01/14,22
140,01/15,23
140,01/16,24
140,01/17,25
140,01/18,27
141,01/11,5
141,01/12,8
141,01/13,9
141,01/14,8
141,01/15,8
141,01/16,7
141,01/17,8
141,01/18,7
143,01/11,0
143,01/12,0
143,01/13,0
143,01/14,0
143,01/15,0
143,01/16,0
143,01/17,0
143,01/18,0
145,01/11,0
145,01/12,0
145,01/13,0
145,01/14,0
145,01/15,0
145,01/16,0
145,01/17,0
145,01/18,0
147,01/11,11
147,01/12,13
147,01/13,15
147,01/14,16
147,01/15,16
147,01/16,16
147,01/17,18
147,01/18,20
148,01/11,3
148,01/12,4
148,01/13,4
148,01/14,4
148,01/15,4
148,01/16,4
148,01/17,4
148,01/18,6
149,01/11,0
149,01/12,0
149,01/13,0
149,01/14,0
149,01/15,0
149,01/16,0
149,01/17,0
149,01/18,0
150,01/11,1
150,01/12,1
150,01/13,1
150,01/14,1
150,01/15,1
150,01/16,3
150,01/17,3
150,01/18,4
151,01/11,0
151,01/12,0
151,01/13,0
151,01/14,0
151,01/15,0
151,01/16,0
151,01/17,0
151,01/18,0
152,01/11,0
152,01/12,0
152,01/13,0
152,01/14,0
152,01/15,0
152,01/16,0
152,01/17,0
152,01/18,0
153,01/11,0
153,01/12,0
153,01/13,0
153,01/14,0
153,01/15,0
153,01/16,0
153,01/17,0
153,01/18,0
154,01/11,2
154,01/12,2
154,01/13,2
154,01/14,2
154,01/15,2
154,01/16,2
154,01/17,2
154,01/18,1
155,01/11,0
155,01/12,0
155,01/13,0
155,01/14,0
155,01/15,0
155,01/16,0
155,01/17,0
155,01/18,1
156,01/11,1
156,01/12,2
156,01/13,3
156,01/14,3
156,01/15,4
156,01/16,4
156,01/17,4
156,01/18,6
157,01/11,0
157,01/12,0
157,01/13,0
157,01/14,0
157,01/15,0
157,01/16,0
157,01/17,0
157,01/18,0
158,01/11,164
158,01/12,165
158,01/13,164
158,01/14,168
158,01/15,168
158,01/16,168
158,01/17,167
158,01/18,170
168,01/11,0
168,01/12,0
168,01/13,0
168,01/14,0
168,01/15,0
168,01/16,0
168,01/17,0
168,01/18,0
169,01/11,9
169,01/12,9
169,01/13,9
169,01/14,9
169,01/15,9
169,01/16,9
169,01/17,9
169,01/18,9
170,01/11,0
170,01/12,0
170,01/13,0
170,01/14,0
170,01/15,0
170,01/16,0
170,01/17,1
170,01/18,1
175,01/11,13
175,01/12,15
175,01/13,21
175,01/14,19
175,01/15,19
175,01/16,20
175,01/17,21
175,01/18,21
178,01/11,0
178,01/12,0
178,01/13,0
178,01/14,0
178,01/15,0
178,01/16,0
178,01/17,1
178,01/18,1
180,01/11,0
180,01/12,0
180,01/13,0
180,01/14,0
180,01/15,0
180,01/16,0
180,01/17,0
180,01/18,0
181,01/11,63
181,01/12,61
181,01/13,61
181,01/14,63
181,01/15,65
181,01/16,65
181,01/17,65
181,01/18,66
182,01/11,32
182,01/12,34
182,01/13,34
182,01/14,33
182,01/15,34
182,01/16,35
182,01/17,33
182,01/18,33
184,01/11,63
184,01/12,63
184,01/13,64
184,01/14,65
184,01/15,65
184,01/16,65
184,01/17,68
184,01/18,68
187,01/11,27
187,01/12,28
187,01/13,28
187,01/14,29
187,01/15,30
187,01/16,30
187,01/17,30
187,01/18,29
188,01/11,100
188,01/12,101
188,01/13,102
188,01/14,103
188,01/15,104
188,01/16,104
188,01/17,104
188,01/18,104
190,01/11,0
190,01/12,0
190,01/13,0
190,01/14,0
190,01/15,0
190,01/16,0
190,01/17,0
190,01/18,0
191,01/11,10
191,01/12,11
191,01/13,11
191,01/14,11
191,01/15,11
191,01/16,11
191,01/17,12
191,01/18,13
194,01/11,25
194,01/12,24
194,01/13,25
194,01/14,24
194,01/15,24
194,01/16,25
194,01/17,25
194,01/18,25
197,01/11,17
197,01/12,20
