id,code,name
140,AFAM 724 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,FILM 693 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,HSAR 759 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
140,WGSS 693 01,"Imaging War, Imagining Peace: Memory, Justice, and Repair"
141,AMST 746 01,Ethnographic Writing
141,ANTH 503 01,Ethnographic Writing
143,AMST 778 01,Privilege in the Americas
145,AMST 785 01,Religion and the Performance of Space
147,AMST 805 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,REL 966 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,HSAR 720 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,RLST 699 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
147,WGSS 779 01,"Sensational Materialities: Sensory Cultures in History, Theory, and Method"
148,AMST 816 01,Pilgrimage and Religious Tourism
148,REL 968 01,Pilgrimage and Religious Tourism
148,HSAR 834 01,Pilgrimage and Religious Tourism
148,RLST 859 01,Pilgrimage and Religious Tourism
149,AMST 837 01,Troubling Heritage
149,RLST 696 01,Troubling Heritage
150,AMST 857 01,Frailties
150,WGSS 857 01,Frailties
151,AMST 900 01,Independent Research
152,AMST 901 01,Directed Reading
153,AMST 902 01,Prospectus Workshop
154,AMST 904 01,Practicum
154,PHUM 904 01,Practicum
155,AMST 905 01,Public Humanities Capstone Project
155,PHUM 905 01,Public Humanities Capstone Project
156,AMST 911 01,Working Group on Latina/o Studies II
156,AFAM 718 01,Working Group on Latina/o Studies II
156,HIST 765 01,Working Group on Latina/o Studies II
157,AMST 998 01,Directed Reading
158,AMTH 160 01,The Structure of Networks
158,MATH 160 01,The Structure of Networks
158,S&DS 160 01,The Structure of Networks
168,AMTH 482 01,Research Project
169,AMTH 491 01,Senior Project
170,AMTH 525 01,Seminar in Applied Mathematics
175,AMTH 667 01,Advanced Computational Vision
175,CPSC 476 01,Advanced Computational Vision
175,BENG 476 01,Advanced Computational Vision
175,CPSC 576 01,Advanced Computational Vision
175,ENAS 576 01,Advanced Computational Vision
178,AMTH 999 01,Directed Reading
180,ANTH 040 01,The Evolution of Human Uniqueness
181,ANTH 110 01,An Introduction to Cultural Anthropology
182,ANTH 112 01,"Agent, Person, Subject, Self"
184,ANTH 182 01,Primate Behavior and Ecology
187,ANTH 203 01,Primate Conservation
188,ANTH 242 01,Human Evolutionary Biology and Life History
190,ANTH 269 01,Apes and Human Evolution
191,ANTH 303 01,Field Methods in Cultural Anthropology
194,ANTH 321 01,Middle East Gender Studies
194,MMES 321 01,Middle East Gender Studies
194,SOCY 318 01,Middle East Gender Studies
194,WGSS 321 01,Middle East Gender Studies
197,ANTH 342 01,Cultures and Markets in Asia
197,ANTH 542 01,Cultures and Markets in Asia
197,EAST 346 01,Cultures and Markets in Asia
197,EAST 546 01,Cultures and Markets in Asia
199,ANTH 346 01,Anthropological Approaches to Capitalism
200,ANTH 347 01,"Race, Ethnicity, and Diversity in Soviet & Post-Soviet Debates"
200,E&RS 535 01,"Race, Ethnicity, and Diversity in Soviet & Post-Soviet Debates"
200,ER&M 331 01,"Race, Ethnicity, and Diversity in Soviet & Post-Soviet Debates"
200,RSEE 324 01,"Race, Ethnicity, and Diversity in Soviet & Post-Soviet Debates"
201,ANTH 354 01,"Cuerpos Femeninos (Female Bodies): Biology, Evolution, and Society"
202,ANTH 356 01,Goods and Goodness
203,ANTH 366 01,Inequality in America
203,AMST 435 01,Inequality in America
204,ANTH 370 01,Anthropology of Information
204,ANTH 570 01,Anthropology of Information
205,ANTH 376 01,Observing and Measuring Behavior I: Study Design
205,ANTH 876 01,Observing and Measuring Behavior I: Study Design
205,EVST 377 01,Observing and Measuring Behavior I: Study Design
208,ANTH 388 01,Politics of Culture in Southeast Asia
208,ANTH 588 01,Politics of Culture in Southeast Asia
210,ANTH 395 01,Methods and Research in Molecular Anthropology II
210,ANTH 895 01,Methods and Research in Molecular Anthropology II
213,ANTH 439 01,"Africa, Politics, Anthropology"
213,AFST 639 01,"Africa, Politics, Anthropology"
213,ANTH 639 01,"Africa, Politics, Anthropology"
214,ANTH 451 01,Intersectionality and Women’s Health
214,WGSS 431 01,Intersectionality and Women’s Health
215,ANTH 453 01,Global Health: Equity and Policy
215,HLTH 425 01,Global Health: Equity and Policy
217,ANTH 464 01,Human Osteology
217,ANTH 864 01,Human Osteology
217,ARCG 464 01,Human Osteology
217,ARCG 864 01,Human Osteology
217,E&EB 464 01,Human Osteology
218,ANTH 467 01,"Blood: Science, Culture, and Society"
218,LITR 467 01,"Blood: Science, Culture, and Society"
221,ANTH 471 01,Readings in Anthropology
222,ANTH 472 01,Readings in Anthropology
224,ANTH 482 01,Advanced Archaeological Theory
224,ANTH 782 01,Advanced Archaeological Theory
224,ARCG 482 01,Advanced Archaeological Theory
224,ARCG 782 01,Advanced Archaeological Theory
225,ANTH 491 01,The Senior Essay
226,ANTH 492 01,Imaging Ancient Worlds
226,ANTH 692 01,Imaging Ancient Worlds
226,ARCG 492 01,Imaging Ancient Worlds
226,ARCG 692 01,Imaging Ancient Worlds
226,NELC 321 01,Imaging Ancient Worlds
226,NELC 537 01,Imaging Ancient Worlds
227,ANTH 492 01,Imaging Ancient Worlds
227,ARCG 492 01,Imaging Ancient Worlds
227,NELC 321 01,Imaging Ancient Worlds
229,ANTH 530 01,Ethnography and Social Theory
230,ANTH 538 01,Culture and Politics in the Contemporary Middle East
230,GLBL 838 01,Culture and Politics in the Contemporary Middle East
231,ANTH 538 03,Culture and Politics in the Contemporary Middle East
232,ANTH 597 01,Power in Conservation
232,ENV 839 01,Power in Conservation
233,ANTH 600 01,Contemporary Social Theory
235,ANTH 619 01,"Urban Culture, Space, and Power"
236,ANTH 642 01,Histories and Ethnographies of the Corporation
237,ANTH 648 01,Principles of Paleoecology
237,EPS 648 01,Principles of Paleoecology
238,ANTH 651 01,Intersectionality and Women’s Health
238,WGSS 651 01,Intersectionality and Women’s Health
239,ANTH 666 01,Privilege in the Americas
242,ANTH 769 01,Landscapes of Meaning: Museums and Their Objects
242,AMST 716 01,Landscapes of Meaning: Museums and Their Objects
242,ARCG 769 01,Landscapes of Meaning: Museums and Their Objects
242,HSAR 716 01,Landscapes of Meaning: Museums and Their Objects
244,ANTH 803 01,Reproductive Ecology of Humans and Nonhuman Primates
246,ANTH 880 01,Evolutionary Biology of Infant Care
247,ANTH 902 01,Environmental Anthropology Research Lab
247,ENV 902 01,Environmental Anthropology Research Lab
248,ANTH 950 01,Directed Research: Preparation for Qualifying Exam
249,ANTH 951 01,Directed Research in Ethnology and Social Anthropology
250,ANTH 952 01,Directed Research in Linguistics
251,ANTH 953 01,Directed Research in Archaeology and Prehistory
252,ANTH 954 01,Directed Research in Biological Anthropology
253,ANTH 955 01,Directed Research in Evolutionary Biology
255,ANTH 965 01,Directed Research in Physical Anthropolgy
256,APHY 050 01,Science of Modern Technology and Public Policy
256,ENAS 050 01,Science of Modern Technology and Public Policy
256,PHYS 050 01,Science of Modern Technology and Public Policy
257,APHY 050 02,Science of Modern Technology and Public Policy
257,ENAS 050 02,Science of Modern Technology and Public Policy
257,PHYS 050 02,Science of Modern Technology and Public Policy
258,APHY 100 01,"Energy, Environment, and Public Policy"
258,ENAS 100 01,"Energy, Environment, and Public Policy"
258,EPS 105 01,"Energy, Environment, and Public Policy"
258,EVST 100 01,"Energy, Environment, and Public Policy"
258,PHYS 100 01,"Energy, Environment, and Public Policy"
259,APHY 110 01,The Technological World
259,ENAS 110 01,The Technological World
263,APHY 322 01,Electromagnetic Waves and Devices
265,APHY 449 01,Solid State Physics II
265,PHYS 449 01,Solid State Physics II
266,APHY 469 01,Special Projects
267,APHY 470 01,Statistical Methods with Applications in Science and Finance
268,APHY 472 01,Senior Special Projects
269,APHY 549 01,Solid State Physics II
269,ENAS 851 01,Solid State Physics II
