number,rating,subject,term,workload,year
162,4.017,AMST,Spring,2.8970000000000002,2011.0
162,3.918,AMST,Spring,3.096,2010.0
197,3.863,AMST,Spring,2.479,2019.0
197,3.734,AMST,Spring,2.336,2018.0
197,4.446,AMST,Fall,2.545,2016.0
206,4.563,AMST,Spring,3.5,2019.0
206,4.462,AMST,Spring,3.231,2018.0
228,4.047,AMST,Fall,2.488,2013.0
303,3.714,AMST,Spring,3.333,2019.0
303,4.583,AMST,Spring,3.083,2018.0
303,4.462,AMST,Fall,3.462,2016.0
310,3.714,AMST,Spring,2.429,2019.0
310,2.25,AMST,Spring,4.111,2017.0
310,4.333,AMST,Spring,3.0,2015.0
310,4.417,AMST,Spring,3.833,2013.0
326,4.714,AMST,Spring,3.286,2018.0
326,4.667,AMST,Spring,3.2,2015.0
326,4.25,AMST,Fall,4.063,2012.0
326,4.9,AMST,Fall,3.5,2011.0
330,3.5,AMST,Fall,4.0,2016.0
330,3.667,AMST,Spring,3.333,2015.0
330,4.5,AMST,Spring,4.0,2014.0
330,3.222,AMST,Fall,4.556,2011.0
336,4.111,AMST,Spring,3.778,2019.0
336,4.5,AMST,Fall,3.25,2016.0
336,4.143,AMST,Spring,3.0,2015.0
336,4.333,AMST,Spring,3.833,2014.0
337,3.8,AMST,Spring,3.3,2019.0
337,4.0,AMST,Fall,3.0,2014.0
337,3.308,AMST,Fall,3.231,2013.0
340,4.688,AMST,Spring,2.941,2016.0
344,4.167,AMST,Fall,3.5,2017.0
344,4.4,AMST,Spring,3.6,2016.0
344,4.0,AMST,Fall,3.188,2009.0
346,4.889,AMST,Fall,2.8890000000000002,2018.0
346,4.0,AMST,Fall,3.25,2013.0
346,3.313,AMST,Spring,3.133,2012.0
346,4.133,AMST,Spring,3.267,2010.0
349,3.9,AMST,Fall,2.7,2019.0
349,4.333,AMST,Fall,2.5,2018.0
349,4.667,AMST,Spring,3.0,2017.0
350,4.462,AMST,Spring,2.923,2012.0
350,3.9,AMST,Spring,2.5,2010.0
357,4.0,AMST,Spring,3.333,2012.0
358,3.5,AMST,Spring,2.5,2018.0
358,4.0,AMST,Spring,2.8,2014.0
358,3.6,AMST,Fall,2.8,2012.0
370,4.0,AMST,Spring,3.0,2019.0
370,3.636,AMST,Spring,3.2,2018.0
370,4.8,AMST,Fall,2.143,2016.0
370,4.5,AMST,Fall,2.3,2015.0
370,4.083,AMST,Spring,3.583,2015.0
370,4.25,AMST,Spring,3.5,2014.0
370,4.333,AMST,Spring,3.833,2013.0
370,4.25,AMST,Fall,2.0,2011.0
370,4.214,AMST,Spring,3.214,2011.0
370,4.833,AMST,Spring,2.833,2010.0
388,4.625,AMST,Spring,3.733,2019.0
388,4.417,AMST,Spring,3.455,2014.0
405,3.857,AMST,Spring,2.857,2019.0
405,4.5,AMST,Spring,2.9,2017.0
405,4.0,AMST,Spring,2.083,2014.0
405,3.667,AMST,Spring,2.333,2013.0
405,3.6109999999999998,AMST,Spring,2.167,2012.0
405,4.231,AMST,Spring,2.615,2011.0
405,4.333,AMST,Spring,2.667,2010.0
406,4.125,AMST,Spring,4.0,2016.0
406,4.0,AMST,Spring,3.143,2014.0
406,3.444,AMST,Spring,2.8890000000000002,2012.0
406,3.8890000000000002,AMST,Fall,2.444,2010.0
411,4.6,AMST,Spring,3.2,2019.0
411,4.7,AMST,Fall,3.0,2016.0
411,4.7780000000000005,AMST,Spring,3.444,2018.0
411,4.923,AMST,Fall,3.308,2015.0
411,4.429,AMST,Fall,4.571,2009.0
422,4.462,AMST,Fall,3.083,2018.0
422,4.571,AMST,Spring,3.143,2017.0
422,3.923,AMST,Fall,3.154,2015.0
422,4.111,AMST,Fall,2.778,2013.0
422,4.571,AMST,Spring,3.571,2012.0
422,4.125,AMST,Fall,3.125,2010.0
438,5.0,AMST,Spring,3.833,2014.0
438,4.6,AMST,Fall,3.0,2009.0
448,4.0,AMST,Spring,3.6,2019.0
448,3.6,AMST,Spring,3.0,2016.0
452,3.583,AMST,Spring,3.0,2010.0
459,4.333,AMST,Spring,3.75,2011.0
464,4.2,AMST,Spring,3.6,2018.0
464,2.0,AMST,Spring,4.0,2016.0
464,5.0,AMST,Spring,5.0,2015.0
464,3.0,AMST,Spring,4.0,2019.0
464,3.667,AMST,Spring,4.333,2014.0
466,4.4,AMST,Fall,3.7,2013.0
472,4.5,AMST,Spring,3.75,2011.0
491,4.5,AMST,Spring,4.0,2019.0
491,5.0,AMST,Spring,4.75,2016.0
491,4.091,AMST,Spring,4.0,2015.0
491,4.0,AMST,Fall,3.5,2014.0
491,2.75,AMST,Spring,3.75,2014.0
491,3.5,AMST,Spring,3.2,2013.0
491,4.0,AMST,Fall,2.5,2012.0
491,3.455,AMST,Spring,3.8,2012.0
491,3.0,AMST,Spring,4.0,2011.0
494,4.667,AMST,Spring,4.333,2019.0
494,4.8,AMST,Spring,4.8,2018.0
494,4.615,AMST,Spring,4.214,2017.0
494,4.5,AMST,Spring,4.286,2016.0
494,4.111,AMST,Spring,3.333,2015.0
494,4.111,AMST,Spring,4.0,2014.0
494,4.6,AMST,Spring,4.5,2013.0
494,3.5789999999999997,AMST,Spring,3.947,2012.0
494,3.75,AMST,Spring,3.75,2011.0
494,3.778,AMST,Spring,4.3,2010.0
494,4.667,AMST,Spring,4.333,2019.0
494,4.8,AMST,Spring,4.8,2018.0
494,4.615,AMST,Spring,4.214,2017.0
494,4.5,AMST,Spring,4.286,2016.0
494,4.111,AMST,Spring,3.333,2015.0
494,4.111,AMST,Spring,4.0,2014.0
494,4.6,AMST,Spring,4.5,2013.0
494,3.5789999999999997,AMST,Spring,3.947,2012.0
494,3.75,AMST,Spring,3.75,2011.0
494,3.778,AMST,Spring,4.3,2010.0
160,3.59,AMTH,Spring,1.587,2014.0
160,3.32,AMTH,Spring,2.214,2019.0
160,2.6,AMTH,Spring,2.3,2018.0
160,3.7,AMTH,Spring,1.525,2013.0
160,2.909,AMTH,Spring,1.912,2012.0
222,3.095,AMTH,Spring,3.227,2019.0
222,2.8,AMTH,Fall,2.9,2019.0
222,3.056,AMTH,Fall,3.074,2019.0
222,2.417,AMTH,Spring,2.833,2019.0
222,2.406,AMTH,Spring,3.0,2019.0
222,3.814,AMTH,Fall,3.5,2018.0
222,2.634,AMTH,Spring,3.493,2018.0
222,2.8810000000000002,AMTH,Spring,3.3810000000000002,2018.0
222,2.382,AMTH,Fall,3.164,2017.0
222,2.292,AMTH,Spring,2.625,2017.0
222,3.257,AMTH,Spring,2.735,2017.0
222,2.426,AMTH,Spring,2.872,2017.0
222,3.258,AMTH,Fall,2.894,2016.0
222,3.8,AMTH,Spring,2.855,2016.0
222,2.726,AMTH,Spring,2.607,2016.0
222,3.1,AMTH,Fall,2.4,2015.0
222,3.105,AMTH,Spring,2.9210000000000003,2015.0
222,2.767,AMTH,Spring,2.6390000000000002,2015.0
222,3.222,AMTH,Fall,2.903,2014.0
222,3.18,AMTH,Spring,2.8689999999999998,2014.0
222,3.4,AMTH,Spring,3.1,2014.0
222,3.3970000000000002,AMTH,Fall,2.776,2013.0
222,3.339,AMTH,Spring,3.048,2013.0
222,2.0,AMTH,Fall,3.211,2012.0
222,3.223,AMTH,Spring,3.063,2012.0
222,2.103,AMTH,Spring,3.586,2012.0
222,2.171,AMTH,Fall,3.556,2011.0
222,2.778,AMTH,Spring,2.3609999999999998,2011.0
222,3.033,AMTH,Spring,3.176,2011.0
222,2.902,AMTH,Fall,2.634,2010.0
222,3.03,AMTH,Spring,2.667,2010.0
222,3.391,AMTH,Spring,3.109,2010.0
222,3.7800000000000002,AMTH,Fall,3.146,2009.0
222,2.8,AMTH,Fall,2.9,2019.0
222,3.056,AMTH,Fall,3.074,2019.0
222,2.417,AMTH,Spring,2.833,2019.0
222,2.406,AMTH,Spring,3.0,2019.0
222,3.095,AMTH,Spring,3.227,2019.0
222,3.814,AMTH,Fall,3.5,2018.0
222,2.634,AMTH,Spring,3.493,2018.0
222,2.8810000000000002,AMTH,Spring,3.3810000000000002,2018.0
222,2.382,AMTH,Fall,3.164,2017.0
222,2.292,AMTH,Spring,2.625,2017.0
222,3.257,AMTH,Spring,2.735,2017.0
222,2.426,AMTH,Spring,2.872,2017.0
222,3.258,AMTH,Fall,2.894,2016.0
222,3.8,AMTH,Spring,2.855,2016.0
222,2.726,AMTH,Spring,2.607,2016.0
222,3.1,AMTH,Fall,2.4,2015.0
222,3.105,AMTH,Spring,2.9210000000000003,2015.0
222,2.767,AMTH,Spring,2.6390000000000002,2015.0
222,3.222,AMTH,Fall,2.903,2014.0
222,3.18,AMTH,Spring,2.8689999999999998,2014.0
222,3.4,AMTH,Spring,3.1,2014.0
222,3.3970000000000002,AMTH,Fall,2.776,2013.0
222,3.339,AMTH,Spring,3.048,2013.0
222,2.0,AMTH,Fall,3.211,2012.0
222,3.223,AMTH,Spring,3.063,2012.0
222,2.103,AMTH,Spring,3.586,2012.0
222,2.171,AMTH,Fall,3.556,2011.0
222,2.778,AMTH,Spring,2.3609999999999998,2011.0
222,3.033,AMTH,Spring,3.176,2011.0
222,2.902,AMTH,Fall,2.634,2010.0
222,3.03,AMTH,Spring,2.667,2010.0
222,3.391,AMTH,Spring,3.109,2010.0
222,3.7800000000000002,AMTH,Fall,3.146,2009.0
222,2.8,AMTH,Fall,2.9,2019.0
222,3.056,AMTH,Fall,3.074,2019.0
222,2.417,AMTH,Spring,2.833,2019.0
222,2.406,AMTH,Spring,3.0,2019.0
222,3.095,AMTH,Spring,3.227,2019.0
222,3.814,AMTH,Fall,3.5,2018.0
222,2.634,AMTH,Spring,3.493,2018.0
222,2.8810000000000002,AMTH,Spring,3.3810000000000002,2018.0
222,2.382,AMTH,Fall,3.164,2017.0
222,2.292,AMTH,Spring,2.625,2017.0
222,3.257,AMTH,Spring,2.735,2017.0
222,2.426,AMTH,Spring,2.872,2017.0
222,3.258,AMTH,Fall,2.894,2016.0
222,3.8,AMTH,Spring,2.855,2016.0
222,2.726,AMTH,Spring,2.607,2016.0
222,3.1,AMTH,Fall,2.4,2015.0
222,3.105,AMTH,Spring,2.9210000000000003,2015.0
222,2.767,AMTH,Spring,2.6390000000000002,2015.0
222,3.222,AMTH,Fall,2.903,2014.0
222,3.18,AMTH,Spring,2.8689999999999998,2014.0
222,3.4,AMTH,Spring,3.1,2014.0
222,3.3970000000000002,AMTH,Fall,2.776,2013.0
222,3.339,AMTH,Spring,3.048,2013.0
222,2.0,AMTH,Fall,3.211,2012.0
222,3.223,AMTH,Spring,3.063,2012.0
222,2.103,AMTH,Spring,3.586,2012.0
222,2.171,AMTH,Fall,3.556,2011.0
222,2.778,AMTH,Spring,2.3609999999999998,2011.0
222,3.033,AMTH,Spring,3.176,2011.0
222,2.902,AMTH,Fall,2.634,2010.0
222,3.03,AMTH,Spring,2.667,2010.0
222,3.391,AMTH,Spring,3.109,2010.0
222,3.7800000000000002,AMTH,Fall,3.146,2009.0
244,3.4130000000000003,AMTH,Fall,3.079,2019.0
244,3.606,AMTH,Spring,2.9699999999999998,2019.0
244,3.392,AMTH,Fall,3.392,2018.0
244,3.299,AMTH,Fall,3.077,2017.0
244,3.477,AMTH,Fall,3.535,2016.0
244,3.479,AMTH,Fall,3.939,2015.0
244,4.4030000000000005,AMTH,Fall,4.161,2014.0
244,4.333,AMTH,Fall,3.965,2013.0
244,3.586,AMTH,Fall,3.724,2012.0
244,3.568,AMTH,Fall,2.784,2011.0
244,3.643,AMTH,Fall,3.357,2010.0
244,2.565,AMTH,Fall,4.087,2009.0
262,2.893,AMTH,Fall,2.9290000000000003,2017.0
262,3.155,AMTH,Fall,3.75,2016.0
361,2.963,AMTH,Spring,3.148,2019.0
361,3.097,AMTH,Spring,2.419,2018.0
361,3.148,AMTH,Spring,3.407,2017.0
361,4.095,AMTH,Fall,3.095,2015.0
361,1.833,AMTH,Fall,3.25,2014.0
361,2.944,AMTH,Fall,2.667,2013.0
361,3.444,AMTH,Fall,2.667,2012.0
361,3.429,AMTH,Fall,2.5,2010.0
364,2.077,AMTH,Spring,2.769,2019.0
364,3.25,AMTH,Spring,3.0,2016.0
364,5.0,AMTH,Spring,5.0,2015.0
364,3.833,AMTH,Spring,3.5,2014.0
364,3.833,AMTH,Spring,4.0,2017.0
364,3.5,AMTH,Spring,3.25,2012.0
364,3.5,AMTH,Spring,3.25,2011.0
364,3.6,AMTH,Spring,3.6,2010.0
490,2.75,AMTH,Spring,3.5,2015.0
490,3.143,AMTH,Spring,4.0,2014.0
490,3.667,AMTH,Spring,3.333,2013.0
490,3.25,AMTH,Spring,3.857,2012.0
491,3.375,AMTH,Spring,4.111,2019.0
491,5.0,AMTH,Fall,5.0,2018.0
491,2.857,AMTH,Spring,4.143,2018.0
491,3.8,AMTH,Spring,3.625,2017.0
491,4.5,AMTH,Fall,4.5,2016.0
491,4.0,AMTH,Spring,3.8890000000000002,2016.0
491,4.0,AMTH,Fall,3.0,2015.0
491,4.5,AMTH,Spring,4.0,2015.0
491,5.0,AMTH,Fall,3.5,2012.0
491,4.0,AMTH,Spring,4.25,2011.0
040,3.9,ANTH,Spring,2.1,2015.0
040,3.545,ANTH,Spring,1.909,2014.0
110,4.682,ANTH,Spring,3.227,2018.0
110,3.958,ANTH,Spring,3.125,2014.0
110,3.64,ANTH,Spring,2.66,2019.0
110,3.842,ANTH,Fall,2.632,2016.0
110,3.771,ANTH,Fall,2.5140000000000002,2015.0
110,4.1,ANTH,Spring,2.7,2015.0
110,3.717,ANTH,Spring,3.66,2013.0
110,4.389,ANTH,Spring,3.3529999999999998,2012.0
110,2.93,ANTH,Spring,2.482,2011.0
110,3.094,ANTH,Spring,2.194,2010.0
172,4.44,ANTH,Fall,2.2,2017.0
172,4.647,ANTH,Fall,2.188,2015.0
172,3.583,ANTH,Fall,2.4859999999999998,2014.0
172,3.672,ANTH,Spring,1.849,2012.0
172,3.894,ANTH,Fall,1.943,2009.0
200,4.5,ANTH,Spring,2.167,2019.0
211,5.0,ANTH,Fall,3.571,2019.0
211,3.625,ANTH,Fall,3.375,2018.0
211,3.875,ANTH,Fall,3.25,2009.0
215,4.429,ANTH,Spring,2.571,2012.0
215,3.545,ANTH,Spring,3.091,2011.0
242,3.917,ANTH,Spring,2.76,2014.0
242,3.825,ANTH,Spring,2.612,2019.0
242,3.9130000000000003,ANTH,Spring,2.5,2017.0
242,3.808,ANTH,Spring,2.63,2016.0
