number,rating,subject,term,workload,year
309,3.846,AMST,Spring,3.0,2011.0
309,3.727,AMST,Spring,2.818,2010.0
312,4.462,AMST,Fall,3.231,2019.0
312,4.0,AMST,Fall,3.0,2017.0
312,4.0,AMST,Spring,3.333,2010.0
325,3.25,AMST,Fall,3.25,2012.0
332,4.615,AMST,Fall,2.0,2019.0
332,4.556,AMST,Fall,2.0,2018.0
335,2.429,AMST,Fall,3.615,2019.0
335,4.783,AMST,Fall,2.9130000000000003,2015.0
335,3.833,AMST,Spring,2.167,2015.0
335,3.833,AMST,Fall,2.5,2009.0
341,3.923,AMST,Fall,3.308,2019.0
341,3.556,AMST,Fall,3.778,2018.0
341,3.5,AMST,Fall,3.333,2017.0
341,3.6,AMST,Fall,3.4,2016.0
341,4.0,AMST,Fall,3.25,2015.0
341,4.813,AMST,Fall,3.938,2010.0
345,3.846,AMST,Fall,4.154,2019.0
345,4.333,AMST,Fall,3.75,2018.0
345,4.5,AMST,Fall,4.125,2017.0
349,3.9,AMST,Fall,2.7,2019.0
349,4.333,AMST,Fall,2.5,2018.0
349,4.667,AMST,Spring,3.0,2017.0
355,3.5,AMST,Fall,2.833,2019.0
355,4.0,AMST,Fall,3.2,2018.0
355,4.556,AMST,Fall,3.111,2011.0
369,4.571,AMST,Spring,3.333,2014.0
369,4.0,AMST,Fall,3.2,2011.0
374,4.444,AMST,Fall,3.778,2019.0
403,5.0,AMST,Fall,3.0,2019.0
403,4.667,AMST,Fall,3.0,2018.0
403,4.2,AMST,Fall,3.2,2017.0
403,3.75,AMST,Fall,3.875,2016.0
403,4.8,AMST,Fall,3.0,2015.0
403,3.0,AMST,Fall,2.667,2014.0
403,4.286,AMST,Fall,3.286,2013.0
406,4.125,AMST,Spring,4.0,2016.0
406,4.0,AMST,Spring,3.143,2014.0
406,3.444,AMST,Spring,2.8890000000000002,2012.0
406,3.8890000000000002,AMST,Fall,2.444,2010.0
410,4.923,AMST,Fall,4.462,2019.0
410,4.75,AMST,Fall,4.0,2017.0
410,4.75,AMST,Fall,4.25,2011.0
410,4.667,AMST,Fall,4.0,2009.0
435,4.417,AMST,Fall,4.083,2019.0
435,4.571,AMST,Spring,4.286,2016.0
435,4.3,AMST,Spring,3.9,2014.0
435,4.75,AMST,Spring,3.5,2016.0
435,4.4,AMST,Fall,3.2,2014.0
439,3.7,AMST,Fall,2.9,2019.0
439,4.176,AMST,Fall,3.176,2018.0
439,4.4,AMST,Spring,3.9,2010.0
441,4.0,AMST,Fall,3.571,2019.0
441,2.818,AMST,Spring,2.455,2017.0
441,4.0,AMST,Spring,2.5,2016.0
441,4.167,AMST,Spring,3.333,2015.0
441,4.333,AMST,Fall,3.333,2011.0
441,3.875,AMST,Fall,3.375,2009.0
443,4.462,AMST,Fall,4.167,2019.0
451,4.786,AMST,Fall,3.714,2019.0
451,4.385,AMST,Fall,3.5,2018.0
451,4.214,AMST,Fall,3.5,2017.0
451,4.667,AMST,Fall,3.444,2016.0
451,4.2,AMST,Spring,3.2,2015.0
462,4.333,AMST,Fall,3.833,2019.0
462,4.5,AMST,Fall,3.125,2017.0
463,3.667,AMST,Fall,3.333,2019.0
463,3.0,AMST,Fall,3.0,2018.0
463,4.0,AMST,Fall,4.0,2017.0
463,3.333,AMST,Fall,2.5,2015.0
463,4.0,AMST,Fall,3.333,2013.0
479,4.667,AMST,Fall,3.417,2019.0
479,4.5,AMST,Fall,3.667,2018.0
486,4.222,AMST,Fall,3.444,2019.0
491,4.5,AMST,Spring,4.0,2019.0
491,5.0,AMST,Spring,4.75,2016.0
491,4.091,AMST,Spring,4.0,2015.0
491,4.0,AMST,Fall,3.5,2014.0
491,2.75,AMST,Spring,3.75,2014.0
491,3.5,AMST,Spring,3.2,2013.0
491,4.0,AMST,Fall,2.5,2012.0
491,3.455,AMST,Spring,3.8,2012.0
491,3.0,AMST,Spring,4.0,2011.0
491,4.5,AMST,Spring,4.0,2019.0
491,5.0,AMST,Spring,4.75,2016.0
491,4.091,AMST,Spring,4.0,2015.0
491,4.0,AMST,Fall,3.5,2014.0
491,2.75,AMST,Spring,3.75,2014.0
491,3.5,AMST,Spring,3.2,2013.0
491,4.0,AMST,Fall,2.5,2012.0
491,3.455,AMST,Spring,3.8,2012.0
491,3.0,AMST,Spring,4.0,2011.0
493,3.333,AMST,Fall,3.333,2019.0
493,4.222,AMST,Fall,3.5,2018.0
493,4.333,AMST,Fall,3.333,2017.0
493,4.083,AMST,Fall,2.818,2016.0
493,4.0,AMST,Fall,3.429,2015.0
493,4.0,AMST,Fall,3.222,2014.0
493,3.3,AMST,Fall,3.0,2013.0
493,3.286,AMST,Fall,2.833,2013.0
493,3.667,AMST,Fall,3.375,2012.0
493,2.583,AMST,Fall,2.364,2011.0
493,3.8890000000000002,AMST,Fall,3.222,2010.0
493,3.9,AMST,Fall,3.8,2009.0
222,3.056,AMTH,Fall,3.074,2019.0
222,2.8,AMTH,Fall,2.9,2019.0
222,2.417,AMTH,Spring,2.833,2019.0
222,2.406,AMTH,Spring,3.0,2019.0
222,3.095,AMTH,Spring,3.227,2019.0
