id,code,name
200,APHY 634,Mesoscopic Physics I
200,PHYS 634,Mesoscopic Physics I
201,APHY 660,QuantumInformation&Computation
202,APHY 676,Intro to Light-Matter Interact
202,PHYS 676,Intro to Light-Matter Interact
203,APHY 990,Special Investigations
204,ARBC 110,ElementaryModStandardArabic I
204,ARBC 500,ElementaryModStandardArabic I
205,ARBC 130,IntermedModernStandardArabic I
205,ARBC 502,IntermedModernStandardArabic I
206,ARBC 136,IntermediateClassicalArabic I
206,ARBC 509,IntermediateClassicalArabic I
207,ARBC 150,AdvancedModernStandardArabic I
207,ARBC 504,AdvancedModernStandardArabic I
208,ARBC 162,ModernArabic Political Thought
208,ARBC 513,ModernArabic Political Thought
208,MMES 262,ModernArabic Political Thought
209,ARBC 170,Creative Writing in Arabic
209,ARBC 526,Creative Writing in Arabic
209,NELC 558,Creative Writing in Arabic
210,ARBC 193,Moroccan Arabic
211,ARBC 560,Graduate Arabic Seminar
213,ARCG 170,RomanArt:EmpireIdentitySociety
213,CLCV 170,RomanArt:EmpireIdentitySociety
213,HSAR 250,RomanArt:EmpireIdentitySociety
215,ARCG 244,The Age of Akhenaton
215,ARCG 744,The Age of Akhenaton
215,NELC 109,The Age of Akhenaton
215,NELC 509,The Age of Akhenaton
215,RLST 245,The Age of Akhenaton
219,ARCG 471,Directed Reading & Research
220,ARCG 472,Directed Reading & Research
221,ARCG 749,BecomingHadrian:Autobiography
221,CLSS 846,BecomingHadrian:Autobiography
221,HSAR 570,BecomingHadrian:Autobiography
225,ARCH 006,Architectures of Urbanism
226,ARCH 1021,Architectural Design Studio
227,ARCH 1101,Advanced Studio
228,ARCH 1104,Advanced Studio
229,ARCH 1109,Advanced Studio
230,ARCH 1211,Drawing and Archtl Form
231,ARCH 1217,Architectural Product Design
232,ARCH 1233,Composition & Form
233,ARCH 1289,Space Time Form
234,ARCH 150,Introduction to Architecture
235,ARCH 161,Introduction to Structures
236,ARCH 2018,Adv. Building Envelope
237,ARCH 2021,Environmental Design
238,ARCH 2031,Architectural Practice & Mgmnt
239,ARCH 2222,The Mechanical Eye
240,ARCH 250,Methods&Form in Architecture I
