subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
PLSC,428,1,Th 13.30-15.20,RKZ 02,So,[],11.0,3.65,3.15,False,False,True,False,False,False
PLSC,433,1,MW 13.30-14.20 + 1,BF S-28,So,[],1.0,3.99,2.93,False,False,True,False,False,False
PLSC,434,1,T 15.30-17.20,WTS B51,So,[],3.0,3.43,2.91,False,False,True,False,False,False
PLSC,435,1,TTh 10.30-11.20,WLH 208,Hu,[],27.0,4.19,3.01,True,False,False,False,False,False
PLSC,437,1,TTh 14.30-15.45,WLH 211,So,[],21.0,3.9,2.7,False,False,True,False,False,False
PLSC,445,1,T 13.30-15.20,RKZ 06,So,[],15.0,4.25,2.96,False,False,True,False,False,False
PLSC,452,1,TTh 13.00-14.15,OML 202,,QR,50.0,3.19,3.1,False,False,False,False,True,False
PLSC,453,1,TTh 13.00-14.15,OML 202,,QR,119.0,3.52,2.9,False,False,False,False,True,False
PLSC,453,2,1 HTBA,,,QR,119.0,3.52,2.9,False,False,False,False,True,False
PLSC,471,1,1 HTBA,,,[],6.0,4.75,3.47,False,False,False,False,False,False
PLSC,480,1,1 HTBA,,,[],9.0,4.3,3.99,False,False,False,False,False,False
PLSC,490,1,F 9.25-11.15,PR77 A001,,[],16.0,3.5700000000000003,1.9300000000000002,False,False,False,False,False,False
PLSC,500,1,MW 14.30-15.45 + 1,RKZ 05,,[],13.0,3.8200000000000003,4.42,False,False,False,False,False,False
PLSC,504,1,MW 9.00-10.15 + 1,RKZ 05,,[],21.0,3.92,3.54,False,False,False,False,False,False
PLSC,510,1,M 9.25-11.15,RKZ 102,,[],10.0,3.29,2.06,False,False,False,False,False,False
PLSC,520,1,MW 14.30-15.20 + 1,OML 202,,[],102.0,3.35,2.8200000000000003,False,False,False,False,False,False
PLSC,529,1,MW 16.00-17.15 + 1,RKZ 102,,[],5.0,4.42,2.92,False,False,False,False,False,False
PLSC,530,1,TTh 9.00-10.15,DL 220,,[],149.0,4.25,3.55,False,False,False,False,False,False
PLSC,533,1,W 13.30-15.20,RKZ 202,,[],4.0,4.67,3.33,False,False,False,False,False,False
PLSC,540,1,Th 9.25-11.15,PR77 A001,,[],13.0,3.61,2.9,False,False,False,False,False,False
PLSC,553,1,MT 16.10-18.00,SLB 121,,[],1.0,3.0,4.0,False,False,False,False,False,False
PLSC,575,1,W 9.25-11.15 + 1,RKZ 301,,[],5.0,4.2,3.35,False,False,False,False,False,False
PLSC,582,1,T 13.30-15.20,RKZ 301,,[],11.0,3.75,3.5,False,False,False,False,False,False
PLSC,611,1,W 15.30-17.20,LC 208,,[],2.0,3.5,2.5,False,False,False,False,False,False
PLSC,662,1,MW 11.35-12.50,EVANS 4400,,[],9.0,3.6,2.08,False,False,False,False,False,False
